date,building,contents,profits,total
01/03/1980,1.09809663,0.5856515,0,1.683748
01/04/1980,1.75695461,0.3367496,0,2.093704
01/05/1980,1.73258126,0,0,1.732581
01/07/1980,0,1.305376,0.47437775,1.779754
01/07/1980,1.24450952,3.367496,0,4.612006
01/10/1980,4.45203953,4.273234,0,8.725274
01/10/1980,2.49487555,3.543192,1.86090776,7.898975
01/16/1980,0.7756896,0.9931171,0.43923865,2.208045
01/16/1980,0.81259151,0.6734993,0,1.486091
01/19/1980,2.37157394,0.1683748,0.25622255,2.796171
01/21/1980,0,7.320644,0,7.320644
01/21/1980,3.36749634,0,0,3.367496
01/24/1980,1.46412884,0,0,1.464129
01/25/1980,1.72222255,0,0,1.722223
01/26/1980,6.91800878,4.456808,0,11.374817
01/26/1980,1.602306,0.8804334,0,2.482739
01/28/1980,18.30161054,7.913031,0,26.214641
02/03/1980,1.54562225,0.4568082,0,2.00243
02/05/1980,4.39238653,0.1376281,0,4.530015
02/07/1980,1.12098829,0.7207643,0,1.841753
02/10/1980,3.80673499,0,0,3.806735
02/13/1980,10.2489019,3.873174,0,14.122076
02/16/1980,3.08164714,2.342606,0,5.424253
02/19/1980,2.92825769,8.784773,0,11.713031
02/20/1980,0.95900439,0.556369,0,1.515373
02/21/1980,2.53858858,0,0,2.538589
02/22/1980,1.75695461,0.2928258,0,2.04978
02/23/1980,3.80673499,8.658858,0,12.465593
02/25/1980,1.7354451,0,0,1.735445
02/27/1980,0.5124451,1.171303,0,1.683748
03/07/1980,0.66774963,2.436483,0.21961933,3.323852
03/13/1980,1.67461201,0.07320644,0.07320644,1.821025
03/13/1980,0.07320644,2.342606,0,2.415813
03/13/1980,0,1.464129,0,1.464129
03/17/1980,4.39238653,0.8978638,0.58565154,5.875902
03/20/1980,1.79243924,0,0,1.792439
03/21/1980,3.33821376,0,0,3.338214
03/22/1980,1.58448755,0,0,1.584488
03/26/1980,0.62265593,1.308665,0,1.931321
04/06/1980,2.04978038,0,0,2.04978
04/10/1980,1.57375842,0,0,1.573758
04/11/1980,1.75695461,0,0,1.756955
04/14/1980,4.93118594,0,0,4.931186
04/15/1980,5.41727672,0,0,5.417277
04/16/1980,0.73206442,0.8052709,0,1.537335
04/25/1980,17.56954612,0,0,17.569546
04/25/1980,1.69112299,0,0,1.691123
04/26/1980,1.58161201,0,0,1.581612
05/01/1980,0.36901903,1.098097,0,1.467116
