Date,building,contents,profits,total,Año,frecuencia
03/01/1988,2.21827862,0,3.54924579,15.5944989,1988,74
15/01/1988,1.33096717,0.8873114,0.08873115,2.1916595,1988,75
20/01/1988,3.77107365,0,0,3.5825203,1988,
22/01/1988,0,5.094055,0,4.83935225,1988,
23/01/1988,0.39574091,2.560781,0,2.8086959,1988,
01/02/1988,1.13575865,3.549246,1.33096717,5.7151734,1988,
06/02/1988,2.21827862,1.043478,0,3.09866915,1988,
10/02/1988,2.48447205,0.03637977,0,2.3948094,1988,
14/02/1988,0,2.896185,0,17.50292825,1988,
21/02/1988,3.10559006,4.880213,0,7.58651285,1988,
22/02/1988,3.31144632,0.1854481,0,3.3220493,1988,
29/02/1988,2.04081633,4.470275,0,6.18553645,1988,
09/03/1988,1.50842946,1.131322,0.06654836,2.570985,1988,
14/03/1988,1.15350488,1.153505,0,2.1916595,1988,
09/04/1988,0,2.484472,0,2.3602484,1988,
24/04/1988,3.10559006,1.394854,0.70984916,4.94977835,1988,
26/04/1988,5.7675244,0,0,5.4791478,1988,
26/04/1988,2.21827862,3.726708,0.88731145,6.4906831,1988,
29/04/1988,0,2.661934,0.88731145,3.3717837,1988,
30/04/1988,1.95208518,0.3549246,0,2.1916595,1988,
08/05/1988,0.53238687,1.597161,0.53238687,2.5288373,1988,
08/05/1988,7.54214729,0,0,7.16503965,1988,
09/05/1988,4.08163265,0.6237799,0.97604259,5.39738225,1988,
09/05/1988,3.90417036,3.771074,1.55279503,8.76663705,1988,
13/05/1988,1.5971606,0.7098492,0,2.1916595,1988,
26/05/1988,1.33096717,6.21118,0,7.16503965,1988,
29/05/1988,5.7675244,0.3726708,0,5.83318525,1988,
31/05/1988,2.48447205,9.31677,0,11.2111799,1988,
01/06/1988,2.83939663,0.1330967,0,2.82386835,1988,
03/06/1988,2.21827862,0.2253771,0.04436557,2.36361995,1988,
05/06/1988,3.99290151,0,0,3.7932569,1988,
06/06/1988,2.44010648,0,0,2.3181007,1988,
06/06/1988,3.54924579,0.1774623,0,3.5403726,1988,
06/06/1988,0,2.865129,0.88731145,3.564818,1988,
16/06/1988,0.44365572,3.992902,0,4.21472915,1988,
24/06/1988,1.86335404,0.5323869,0,2.27595395,1988,
24/06/1988,0.88731145,4.880213,4.43655723,9.6938779,1988,
29/06/1988,2.32031943,0,0,2.20430305,1988,
29/06/1988,0.70984916,1.597161,0,2.1916595,1988,
02/07/1988,2.48447205,0,0,2.3602484,1988,
04/07/1988,2.57320319,0,0,2.44454285,1988,
06/07/1988,5.32386868,0.6654836,0,5.6898844,1988,
08/07/1988,2.10292813,0.4063886,0,2.38385115,1988,
19/07/1988,1.41969831,2.661934,0.53238687,4.383319,1988,
19/07/1988,0,3.10559,6.65483585,19.42990255,1988,
20/07/1988,1.77462289,2.661934,0.88731145,5.05767555,1988,
30/07/1988,1.77462289,4.436557,0.88731145,6.7435674,1988,
10/08/1988,2.33007986,0.5048802,0.17746229,2.8618009,1988,
18/08/1988,0.97604259,0.6415262,0.69210293,2.1941884,1988,
24/08/1988,1.86335404,0.1455191,0.88731145,2.75137575,1988,
05/09/1988,4.43655723,0,0,4.21472915,1988,
06/09/1988,3.10559006,6.566105,6.21118012,15.08873125,1988,
08/09/1988,0.39929015,1.508429,0.75421473,2.5288373,1988,
18/09/1988,1.33096717,4.436557,1.77462289,7.16503965,1988,
19/09/1988,3.54924579,1.330967,0.62111801,5.22626445,1988,
01/10/1988,3.28305235,0,0,3.1188994,1988,
08/10/1988,2.57320319,0.8873114,0.62111801,3.87755135,1988,
20/10/1988,2.66193434,0.176575,0,2.69658355,1988,
20/10/1988,2.0851819,0.3549246,0.75421473,3.03460495,1988,
02/11/1988,0,1.712511,0.62111801,2.21694755,1988,
03/11/1988,3.69565217,0.7985803,0,4.2695204,1988,
05/11/1988,5.7675244,1.330967,1.77462289,8.4294583,1988,
05/11/1988,2.54924579,0.1268855,0,2.54232445,1988,
18/11/1988,0.44365572,5.767524,0,5.900621,1988,
27/11/1988,0,2.715173,0,2.57941435,1988,
02/12/1988,0.62111801,2.661934,0.7985803,3.87755135,1988,
06/12/1988,0,1.330967,2.21827862,3.3717837,1988,
09/12/1988,1.86335404,0.9760426,0,2.69742715,1988,
12/12/1988,0,3.10559,0.26619343,3.20319385,1988,
14/12/1988,2.66193434,1.330967,0.62111801,4.383319,1988,
15/12/1988,4.43655723,5.323869,1.06477374,10.28394,1988,
16/12/1988,0,4.436557,1.33096717,5.4791478,1988,
18/12/1988,1.77462289,0.7763975,0.55456965,2.9503105,1988,
25/12/1988,0,3.992902,0,3.7932569,1988,
05/01/1989,4.91109229,0.465707,0,5.10795905,1989,
14/01/1989,2.20152413,0.508044,0.25402202,2.8154105,1989,
17/01/1989,0.42337003,2.54022,1.27011008,4.022015,1989,
19/01/1989,2.54022015,0.1591871,0.21168501,2.7655374,1989,
24/01/1989,2.70956816,0.5588484,0,3.10499615,1989,
26/01/1989,1.27011008,3.132938,0.42337003,4.5850971,1989,
02/02/1989,0.84674005,1.439458,0.39796782,2.5499577,1989,
15/02/1989,3.3869602,1.27011,0,4.4242165,1989,
04/03/1989,3.3869602,0,0,13.67485195,1989,
14/03/1989,0.61812024,1.947502,0,2.4373409,1989,
23/03/1989,8.46740051,9.009314,3.3869602,19.82049125,1989,
27/03/1989,7.62066046,1.608806,0,8.76799365,1989,
03/04/1989,0,5.92718,0,5.630821,1989,
09/04/1989,0.58425064,5.08044,0,5.38145645,1989,
14/04/1989,0.76206605,3.38696,0,3.9415747,1989,
23/04/1989,3.81033023,0.1828959,0.42337003,4.1957662,1989,
26/04/1989,1.6934801,8.467401,4.23370025,13.67485195,1989,
28/04/1989,2.54022015,0.146486,0,2.5523707,1989,
30/04/1989,3.3869602,0,0,3.217612,1989,
02/05/1989,0.50804403,3.556308,0,3.8611344,1989,
11/05/1989,3.04826418,6.07282,1.01608806,9.6303134,1989,
13/05/1989,2.54022015,0.1227773,0,2.52984715,1989,
15/05/1989,2.28619814,1.354784,0.16934801,3.6198135,1989,
23/05/1989,1.27011008,1.27011,0.42337003,2.8154105,1989,
24/05/1989,2.37087214,0.677392,0,2.8958508,1989,
25/05/1989,2.54022015,0.4250635,0.37256562,3.17095655,1989,
29/05/1989,4.23370025,0.0677392,0,4.08636705,1989,
04/06/1989,3.81033023,0,0.21168501,3.82091425,1989,
13/06/1989,2.11685013,4.2337,0.42337003,6.435224,1989,
17/06/1989,3.06096528,0.42337,1.01608806,4.27540185,1989,
27/06/1989,5.71549534,0,0,5.42972025,1989,
28/06/1989,3.47163421,2.96359,0,6.1134628,1989,
28/06/1989,0,3.38696,2.11685013,5.2286195,1989,
28/06/1989,0,2.11685,0.42337003,2.413209,1989,
28/06/1989,5.0804403,0,0,4.826418,1989,
29/06/1989,5.0804403,0,0,4.826418,1989,
05/07/1989,1.34801016,2.743438,0,3.8868756,1989,
08/07/1989,3.3869602,1.439458,0,4.5850971,1989,
18/07/1989,2.79424217,0.3048264,0,2.94411555,1989,
22/07/1989,1.6934801,0.592718,0.25402202,2.413209,1989,
23/07/1989,1.62404742,0.2709568,0.59271804,2.3633359,1989,
28/07/1989,3.55630821,0.296359,0,3.66003365,1989,
28/07/1989,4.23370025,7.493649,1.07451312,12.16176985,1989,
04/08/1989,5.0804403,8.467401,2.54022015,15.28365795,1989,
05/08/1989,0.59017782,1.27011,1.27011008,2.9738781,1989,
07/08/1989,2.21168501,4.07536,0,5.97269275,1989,
08/08/1989,2.07451312,0.5419136,0.16088061,2.63844165,1989,
11/08/1989,0,1.312447,0,13.3128706,1989,
23/08/1989,7.40897544,0.9585097,0,7.94911075,1989,
24/08/1989,3.81033023,0,0,3.6198135,1989,
27/08/1989,0,2.54022,0.84674005,3.217612,1989,
28/08/1989,2.11685013,1.27011,1.27011008,4.4242165,1989,
04/09/1989,2.65029636,0.784928,0.33869602,3.585224,1989,
10/09/1989,1.29889924,1.053345,0,2.2346318,1989,
11/09/1989,4.9957663,1.185436,3.21761219,8.92887425,1989,
14/09/1989,1.28281118,3.640982,0.84674005,5.48200635,1989,
24/09/1989,3.97967824,0,0,3.7806941,1989,
25/09/1989,2.54022015,2.11685,0.59271804,4.9872986,1989,
25/09/1989,0,8.467401,4.23370025,12.06604595,1989,
26/09/1989,4.57239627,0,0,4.3437762,1989,
27/09/1989,0.76206605,0.8467401,1.31244708,2.77519035,1989,
29/09/1989,3.3869602,5.92718,2.37087214,11.10076235,1989,
02/10/1989,2.54022015,0,0,2.413209,1989,
20/10/1989,1.6934801,4.2337,0.08467401,5.7112613,1989,
23/10/1989,1.27011008,1.69348,7.62066046,10.05503845,1989,
24/10/1989,3.3869602,0,0,3.217612,1989,
10/11/1989,1.6934801,2.11685,1.05842506,4.62531725,1989,
14/11/1989,0,1.185436,0.50804403,17.69686695,1989,
16/11/1989,1.6934801,2.11685,0,3.6198135,1989,
29/11/1989,1.6934801,2.11685,0.84674005,4.4242165,1989,
09/12/1989,3.3869602,0,0,3.217612,1989,
18/12/1989,0,2.96359,0.84674005,3.6198135,1989,
18/12/1989,1.86367485,0.508044,0.08467401,2.33357335,1989,
19/12/1989,2.03217612,0.400508,0.25402202,2.5523707,1989,
30/12/1989,3.3869602,0.762066,0,3.9415747,1989,
